Date,Open,High,Low,Close,Adj Close,Volume
2021-01-21,14.850000,15.050000,14.350000,14.450000,14.009747,26219001
2021-01-22,14.250000,14.450000,13.800000,14.150000,13.718886,21785720
2021-01-25,14.300000,14.350000,13.800000,13.850000,13.428027,16480834
2021-01-27,13.800000,14.050000,13.050000,13.250000,12.846307,21225172
2021-01-28,13.000000,14.550000,12.700000,14.550000,14.106700,42212952
2021-01-29,15.000000,15.050000,14.250000,14.500000,14.058223,21118394
2021-02-01,14.750000,14.800000,14.200000,14.450000,14.009747,14745563
2021-02-02,14.650000,14.700000,14.250000,14.300000,13.864317,13175404
2021-02-03,14.450000,14.450000,14.100000,14.150000,13.718886,9102342
2021-02-04,14.250000,14.800000,14.000000,14.500000,14.058223,20836572
2021-02-05,14.500000,14.650000,14.050000,14.100000,13.670410,12066613
2021-02-08,14.250000,14.350000,14.100000,14.150000,13.718886,7637911
2021-02-09,14.300000,14.350000,13.900000,13.950000,13.524980,12117596
2021-02-10,14.000000,14.100000,13.800000,13.900000,13.476503,8822533
2021-02-11,14.000000,14.050000,13.900000,13.950000,13.524980,7218876
2021-02-12,14.000000,14.500000,14.000000,14.100000,13.670410,14002247
2021-02-15,14.250000,14.300000,13.900000,13.950000,13.524980,7039372
2021-02-16,13.950000,14.000000,13.450000,13.550000,13.137167,14539801
2021-02-17,13.600000,14.050000,13.400000,13.950000,13.524980,12237871
2021-02-18,14.200000,14.200000,13.800000,13.850000,13.428027,6050237
2021-02-19,13.850000,15.200000,13.700000,14.000000,13.573457,33480446
2021-02-22,14.200000,14.200000,13.700000,13.800000,13.379550,9099256
2021-02-23,13.950000,14.300000,13.850000,14.050000,13.621933,10585803
2021-02-24,14.100000,14.150000,13.900000,14.050000,13.621933,4260862
2021-02-25,14.150000,14.200000,13.950000,13.950000,13.524980,7004646
2021-02-26,13.800000,14.000000,13.750000,13.800000,13.379550,8083886
2021-03-01,14.000000,14.050000,13.750000,13.750000,13.331073,8249167
2021-03-02,13.800000,14.300000,13.750000,13.950000,13.524980,17026504
2021-03-03,14.050000,14.350000,13.950000,14.100000,13.670410,16043011
2021-03-04,14.000000,15.000000,13.900000,14.700000,14.252130,34896595
2021-03-05,14.900000,15.250000,14.450000,14.550000,14.106700,19560648
2021-03-08,14.700000,14.800000,14.150000,14.300000,13.864317,11710329
2021-03-09,14.400000,14.600000,14.000000,14.050000,13.621933,10923474
2021-03-10,14.150000,14.500000,14.100000,14.400000,13.961269,9150968
2021-03-12,14.550000,15.800000,14.500000,15.300000,14.833849,62254045
2021-03-15,15.500000,15.600000,14.850000,15.350000,14.882326,25101729
2021-03-16,15.500000,16.000000,15.500000,15.750000,15.270139,36748299
2021-03-17,15.850000,15.850000,14.750000,14.800000,14.349083,23947608
2021-03-18,15.000000,15.200000,14.150000,14.300000,13.864317,14259158
2021-03-19,14.100000,14.600000,13.300000,14.500000,14.058223,17269915
2021-03-22,14.750000,14.900000,14.300000,14.550000,14.106700,11806704
2021-03-23,14.650000,14.850000,14.450000,14.500000,14.058223,11393386
2021-03-24,14.450000,14.450000,14.000000,14.100000,13.670410,7944269
2021-03-25,14.200000,14.200000,13.450000,13.800000,13.379550,11194596
2021-03-26,13.950000,14.050000,13.400000,13.700000,13.282597,11453522
2021-03-30,14.000000,14.350000,13.850000,14.200000,13.767364,8968948
2021-03-31,14.450000,14.450000,14.000000,14.050000,13.621933,6580578
2021-04-01,14.150000,14.400000,14.050000,14.200000,13.767364,7149942
2021-04-05,14.150000,14.150000,13.750000,14.000000,13.573457,8655751
2021-04-06,13.750000,14.200000,13.500000,13.800000,13.379550,16729258
2021-04-07,14.100000,14.100000,13.800000,13.850000,13.428027,6641770
2021-04-08,14.000000,15.200000,13.900000,14.200000,13.767364,31343457
2021-04-09,14.200000,14.400000,14.050000,14.100000,13.670410,6660754
2021-04-12,13.900000,13.900000,13.300000,13.400000,12.991737,14817300
2021-04-13,13.450000,13.800000,13.400000,13.700000,13.282597,7537165
2021-04-15,13.600000,14.150000,13.500000,13.950000,13.524980,12996089
2021-04-16,13.950000,14.250000,13.850000,14.000000,13.573457,8266000
2021-04-19,13.550000,13.650000,13.100000,13.450000,13.040214,9554062
2021-04-20,13.850000,13.850000,13.400000,13.550000,13.137167,6222721
2021-04-22,13.550000,13.650000,13.250000,13.500000,13.088691,6076496
2021-04-23,13.600000,13.750000,13.400000,13.500000,13.088691,6008998
2021-04-26,13.600000,13.700000,13.500000,13.600000,13.185644,5655823
2021-04-27,13.600000,14.100000,13.600000,14.100000,13.670410,8866429
2021-04-28,14.400000,14.400000,13.850000,14.000000,13.573457,7334423
2021-04-29,14.200000,14.250000,13.750000,13.800000,13.379550,6119825
2021-04-30,13.700000,13.900000,13.550000,13.800000,13.379550,5442282
2021-05-03,13.750000,14.400000,13.600000,14.100000,13.670410,15454931
2021-05-04,14.150000,14.250000,13.800000,13.850000,13.428027,7462361
2021-05-05,14.000000,14.100000,13.800000,13.850000,13.428027,4895199
2021-05-06,14.000000,14.100000,13.800000,13.900000,13.476503,6590387
2021-05-07,14.050000,15.250000,14.050000,15.250000,14.785373,81373515
2021-05-10,16.299999,16.750000,15.900000,16.750000,16.239670,34832118
2021-05-11,17.500000,18.400000,17.049999,18.400000,17.839399,73353512
2021-05-12,19.150000,19.299999,17.500000,17.500000,16.966822,77093499
2021-05-14,17.600000,18.250000,16.650000,16.950001,16.433578,40015879
2021-05-17,16.799999,16.850000,16.150000,16.150000,15.657952,43262885
2021-05-18,16.000000,16.950001,16.000000,16.950001,16.433578,44173510
2021-05-19,17.200001,17.549999,16.450001,16.799999,16.288147,34828076
2021-05-20,16.950001,17.150000,16.650000,16.799999,16.288147,12896613
2021-05-21,17.049999,17.049999,16.650000,16.650000,16.142717,7478053
2021-05-24,16.850000,17.250000,16.600000,16.750000,16.239670,14149091
2021-05-25,16.750000,17.000000,16.549999,16.600000,16.447746,10238535
2021-05-26,16.799999,17.400000,16.600000,16.799999,16.645910,39210185
2021-05-27,16.799999,16.900000,16.500000,16.549999,16.398203,9591685
2021-05-28,16.650000,16.650000,16.200001,16.250000,16.100956,7732579
2021-05-31,16.299999,16.299999,15.900000,15.950000,15.803707,8230010
2021-06-01,15.950000,16.200001,15.700000,15.850000,15.704625,9264533
2021-06-02,15.850000,16.150000,15.700000,16.000000,15.853249,8816879
2021-06-03,16.150000,16.299999,16.049999,16.100000,15.952332,5423578
2021-06-04,16.200001,16.200001,15.900000,16.000000,15.853249,7166109
2021-06-07,16.150000,16.799999,16.000000,16.799999,16.645910,28374729
2021-06-08,16.750000,16.750000,16.250000,16.400000,16.249580,11973321
2021-06-09,16.450001,16.700001,16.000000,16.150000,16.001873,14424012
2021-06-10,16.200001,16.950001,16.150000,16.950001,16.794537,30168964
2021-06-11,17.400000,17.500000,16.600000,16.700001,16.546829,19353850
2021-06-14,16.850000,16.900000,16.250000,16.799999,16.645910,12222202
2021-06-15,16.950001,17.000000,16.600000,16.650000,16.497286,8314164
2021-06-16,16.650000,16.950001,16.500000,16.549999,16.398203,7569027
2021-06-17,16.500000,17.350000,16.400000,16.750000,16.596369,31289273
2021-06-18,16.900000,16.900000,15.950000,16.500000,16.348663,18656910
2021-06-21,16.500000,16.900000,16.299999,16.650000,16.497286,9872425
2021-06-22,16.850000,17.150000,16.650000,16.700001,16.546829,13923522
2021-06-23,16.850000,17.100000,16.549999,16.600000,16.447746,14320403
2021-06-24,16.650000,16.750000,16.549999,16.600000,16.447746,6660275
2021-06-25,16.700001,16.950001,16.500000,16.600000,16.447746,10822995
2021-06-28,16.700001,16.850000,16.450001,16.500000,16.348663,9384496
2021-06-29,16.500000,16.600000,16.200001,16.250000,16.100956,8339231
2021-06-30,16.350000,16.700001,16.299999,16.350000,16.200039,7216903
2021-07-01,16.450001,16.549999,16.299999,16.350000,16.200039,6253929
2021-07-02,16.450001,16.500000,16.350000,16.400000,16.249580,4533156
2021-07-05,16.600000,17.200001,16.500000,17.200001,17.042242,30045663
2021-07-06,18.000000,18.049999,17.750000,18.049999,17.884445,11758209
2021-07-07,18.049999,18.049999,17.150000,17.150000,16.992701,25943417
2021-07-08,17.200001,17.850000,17.000000,17.299999,17.141325,19801665
2021-07-09,17.400000,17.549999,17.200001,17.400000,17.240408,9072116
2021-07-12,17.850000,18.250000,17.400000,17.900000,17.735821,38585284
